Match_addr,ARC_Street,File_,Directory,Full_Link,Quick_Link,Date_,Location,Back_of_Sh,Job_Catego,Hyperlink,GlobalID,Leak_Numbe,Leak_Num_Y,X,Y
125 SHONNARD ST,125 Shonnard St.,DOC011312-019.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC011312-019.tif,DOC011312-019.tif,1/9/2012,125 Shonnard St.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC011312-019.tif,{D73E1517-645F-44E9-95D5-97F4524AA7B7},005,2012,-76.15820000000,43.04160000000
WALNUT AVE & ERIE BLVD E,Walnut Ave. & Erie Blvd.,DOC011312-024.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC011312-024.tif,DOC011312-024.tif,1/6/2012,Walnut Ave. & Erie Blvd.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC011312-024.tif,{6704FC89-DAF3-494D-811B-DC9DE2D195C5},004,2012,-76.13200000000,43.05070000000
106 RONEY RD,106-108 Roney Lane,DOC012512-002.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC012512-002.tif,DOC012512-002.tif,1/22/2012,106-108 Roney Lane,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC012512-002.tif,{8A8F644C-CE41-4074-907D-9C9BBCF32795},012,2012,-76.14270000000,43.00250000000
310 ELM ST,310 Elm St.,DOC012512-003.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC012512-003.tif,DOC012512-003.tif,1/22/2012,310 Elm St.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC012512-003.tif,{63B92C42-9659-44AF-B57D-A2C918ED3F5B},013,2012,-76.13000000000,43.05250000000
111 WAVERLY AVE,111 Waverly Ave.,DOC012512-012.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC012512-012.tif,DOC012512-012.tif,1/19/2012,111 Waverly Ave.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC012512-012.tif,{056203A3-41E7-4798-A9B1-0C74483B1066},012,2012,-76.13640000000,43.04060000000
815 MEADOWBROOK DR,815-817 Meadowbrook Dr.,DOC012512-018.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC012512-018.tif,DOC012512-018.tif,1/18/2012,815-817 Meadowbrook Dr.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC012512-018.tif,{3DA6E6BF-6355-45FF-A28F-33A7792E1476},,2012,-76.11300000000,43.03200000000
221 ARNETT AVE,221 Arnett Av.,DOC012512-022.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC012512-022.tif,DOC012512-022.tif,1/14/2012,221 Arnett Av.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC012512-022.tif,{827C49F5-DBAD-44F1-AB4A-5CBA776D4856},009,2012,-76.11190000000,43.07000000000
329 ELM ST,329 Elm St.,DOC013012-001.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC013012-001.tif,DOC013012-001.tif,1/29/2012,329 Elm St.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC013012-001.tif,{FA347522-FCED-42BE-A53D-965E80958C6B},019,2012,-76.13020000000,43.05300000000
427 W COLVIN ST,427 W. Colvin St.,DOC013012-010.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC013012-010.tif,DOC013012-010.tif,1/25/2012,427 W. Colvin St.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC013012-010.tif,{D7162EBF-61AC-4DF0-9750-C80E27ABCCEE},015,2012,-76.14980000000,43.02440000000
707 GRANT BLVD,707 Grant Blvd.,DOC013012-017.tif,S:\WORKSHEETS\Worksheets_2012-01,S:\WORKSHEETS\Worksheets_2012-01\DOC013012-017.tif,DOC013012-017.tif,1/23/2012,707 Grant Blvd.,,Main Break/Leak,\\water-server3\waterdept\WORKSHEETS\Worksheets_2012-01\DOC013012-017.tif,{86A20C6F-3C21-4451-8B65-77C9EB81C5B4},014,2012,-76.12650000000,43.07280000000
